Parcours;Formation;Formation Slug;P1;P2;P3;Demande
Essentiels Digitales Compétences & PPT - P3;PowerPoint;ppt;Digitales Compétences Basique (TOSA);PowerPoint Basique (TOSA);Word Basique (TOSA) + Excel Basique (TOSA);Essentiels Digitales Compétences & PPT - P3
Création visuels : 3D/Images - P3;SketchUp;sketchup;SketchUp (ICDL);ICDL GIMP (ICDL);IA Générative (INKREA);Création visuels : 3D/Images - P3
Création visuels : 3D/Images - P3;SketchUp;sketchup;SketchUp (ICDL);ICDL GIMP (ICDL);ILLUSTRATOR Basique (TOSA);Création visuels : 3D/Images - P3
Essentiels Digitales Compétences & Word - P3;Word;word;Word Basique (TOSA);Word Opérationnel (ICDL);Excel Basique (TOSA) + PowerPoint Basique (TOSA);Essentiels Digitales Compétences & Word - P3
Essentiels Digitales Compétences & Word - P3;Word;word;Digitales Compétences Basique (TOSA);Word Basique (TOSA);Word Opérationnel (ICDL);Essentiels Digitales Compétences & Word - P3
Essentiels Bureautique - P3;Word;word;Word Basique (TOSA);Excel Basique (TOSA);PowerPoint Basique (TOSA);Essentiels Bureautique - P3
Essentiels Digitales Compétences & Word - P3;Word;word;Word Basique (TOSA);Word Opérationnel (ICDL);Outlook Basique (TOSA);Essentiels Digitales Compétences & Word - P3
Essentiels Digitales Compétences & WORD - P3;Word;word;Digitales Compétences Basique (TOSA);Word Basique (TOSA);Excel Basique (TOSA) + PowerPoint Basique (TOSA);Essentiels Digitales Compétences & WORD - P3
Essentiels Digitales Compétences & WORD - P3;Word;word;Digitales Compétences Basique (TOSA);Word Basique (TOSA);Outlook Basique (TOSA);Essentiels Digitales Compétences & WORD - P3
IA Générative & Word - P3;Word + IA;word-ia;Word (TOSA);IA Générative (INKREA);PowerPoint Basique (TOSA) + Excel Basique (TOSA);IA Générative & Word - P3
IA Générative & Word - P3;Word + IA;word-ia;Word (TOSA);IA Générative (INKREA);Word Opérationnel (ICDL);IA Générative & Word - P3
IA Générative & Word - P3;Word + IA;word-ia;Word (TOSA);IA Générative (INKREA);Digitales Compétences Opérationnel (TOSA);IA Générative & Word - P3
Renforcement Wordpress - P3;WordPress;wordpress;WordPRESS Basique (TOSA);WordPRESS Opérationnel (ICDL);IA Générative (INKREA);Renforcement Wordpress - P3
Renforcement Wordpress - P3;WordPress;wordpress;WordPRESS Basique (TOSA);WordPRESS Opérationnel (ICDL);SKETCHUP Opérationnel (ICDL);Renforcement Wordpress - P3
Renforcement Wordpress - P3;WordPress;wordpress;WordPRESS Basique (TOSA);WordPRESS Opérationnel (ICDL);Photoshop Basique (TOSA);Renforcement Wordpress - P3
